approved,sponsor,nickname,gender,country,state,city,adsource,seeking,dob
1,0,pristojna,2,1,0,0,12,2,1974-01-15
1,0,seadog1978,2,2,0,0,6,2,1978-11-09
1,0,<2561283>,2,1,1,Pell City,6,3,1951-01-01
1,0,99LUY,2,1,1,Huntsville,6,2,1973-09-17
1,0,alabam541,2,1,1,birmingham,12,2,1980-06-15
1,0,Bad Italian Boy,2,1,1,Milan,ITALY,3,2
1,0,bigetota,2,1,1,Birmingham,6,2,1948-10-31
1,1685,chipman612,2,1,1,Phenix City,6,3,1961-12-17
1,0,Corleone81,2,1,1,Falkville,3,3,1981-09-14
1,0,cowboy20081967,2,1,1,Hartselle,26,3,1967-11-09
1,0,david1905,2,1,1,Sylacauga,15,2,1977-02-10
1,0,graya,2,1,1,Mobile,6,3,1978-09-23
1,0,highheels_in_bed,1,1,1,Mobile,6,1,1967-01-01
1,0,Holder08,1,1,1,northeast,3,1,1970-11-11
1,0,januskod,2,1,1,Birmingham,6,2,1963-01-01
1,0,ledimc,2,1,1,Fayette,6,3,1988-08-27
1,0,licker2542,2,1,1,Madison,12,2,1960-05-20
1,0,lookingforfun392,2,1,1,Chunchula,6,2,1969-01-12
1,0,mlw418,2,1,1,Dothan,25,2,1962-02-02
1,0,nitebred,2,1,1,Fort Rucker,3,2,1977-06-02
1,0,PassionateAffair,2,1,1,Oxford,2,2,1960-06-10
1,0,Penns,2,1,1,Birmingham,6,3,1975-06-27
1,0,sa24,2,1,1,Safford,6,5,1980-03-02
1,0,sparky6867,2,1,1,Daphne,2,2,1967-10-13
1,0,TweedJG,2,1,1,Birmingham,15,2,1978-07-12
1,0,whatnow3,2,1,1,Huntsville,12,2,1970-01-01
1,1563,at9,2,1,2,Sitka,3,2,1975-12-01
1,1716,becca_dad,2,1,2,Kenai,6,2,1980-10-22
1,0,so5cerdad,1,1,2,Anchorage,6,1,1957-05-07
1,0,so5cerdad1,2,1,2,Anchorage,6,2,1957-05-07
1,1088,s.smith2,2,1,3,Phoenix,12,2,1973-06-04
1,0,<2560708>,2,1,3,Avondale,12,2,1980-09-09
1,0,12345655,2,1,3,Casa Grande,15,2,1966-04-30
1,0,55turbo,2,1,3,Phoenix,15,2,1962-01-20
